fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,17/06/2026,"Sistemas de Oficina de Castilla-La Mancha, S.A.",Consultor/implantador SW gestión empresarial,IA,Si,Ciudad Real,,,,Sin experiencia,"SQL, C#, JSon",Medio/B2,https://www.tecnoempleo.com/consultor-implantador-sw-gestion-empresarial-siste/sql-c/rf-bbad13c0b2d6c3bb2244
2026-06-26,Tecnoempleo,17/06/2026,Page Personnel,Ingeniero IA,IA,Quizas,Madrid,,60000.0,72000.0,,"TensorFlow, PyTorch, Python",Medio/B2,https://www.tecnoempleo.com/ingeniero-ia-page-personnel/tensorflow-pytorch/rf-a161145dc2d453dc6e48
2026-06-26,Tecnoempleo,15/06/2026,Second Window,Analista Ciberseguridad Junior,IA,Quizas,Madrid,,25000.0,25000.0,2 años,Ciberseguridad,Medio/B2,https://www.tecnoempleo.com/analista-ciberseguridad-junior-second-window/ciberseguridad/rf-b6231de8a27fe382d848
2026-06-26,Tecnoempleo,12/06/2026,CMV Consultores,IT Business Analyst (AI-Driven),IA,Quizas,Barcelona,hibrido,30000.0,35000.0,1-2 años,"BPM, BMAT",Medio/B2,https://www.tecnoempleo.com/it-business-analyst-ai-driven-cmv-consultores/bpm-bmat/rf-59651b81529c33e58741
2026-06-26,Tecnoempleo,12/06/2026,Santander,Software Engineer Python - Lynx,IA,Quizas,Madrid,,,,+2 años,"Python, SQL",Medio/B2,https://www.tecnoempleo.com/software-engineer-python-lynx-santander/sql/rf-5da51a97920db33e0c48
2026-06-26,Tecnoempleo,09/06/2026,Airbus,Discover II 2026-2027 / GenAI Engineer Internship,IA,Si,Madrid,,,,Sin experiencia,"LLM, GenAI",Medio/B2,https://www.tecnoempleo.com/discover-ii-2026-2027-genai-engineer-internship-ai/llm/rf-06a61c1172f463da8e42
2026-06-26,Tecnoempleo,03/06/2026,CIB labs,QS & Software Tester (Automatización),IA,Quizas,100% remoto,remoto,,,Sin experiencia,"Jira, Kiwi, Selenium",Medio/B2,https://www.tecnoempleo.com/qs-software-tester-automatizacion-cib-labs/jira-kiwi/rf-0d1c18d2e2cf03fca845
2026-06-26,Tecnoempleo,29/05/2026,HAYS,Desarrollador/a QA,IA,Quizas,Barcelona,,,,+2 años,"JavaScript, TypeScript, Python",Medio/B2,https://www.tecnoempleo.com/desarrollador-qa-hays/javascript-typescript/rf-60e41681421773aca940
2026-06-26,Tecnoempleo,08/05/2026,Plexus,Gen Artificial Intelligence Engineer,IA,Quizas,Madrid,,,,2 años,"Python, LLM",Medio/B2,https://www.tecnoempleo.com/gen-artificial-intelligence-engineer-plexus/python-llm/rf-78ef1b2a92503343ff42
2026-06-26,Tecnoempleo,09/04/2026,Deloitte,IT & Data Audit & Assurance,IA,Si,Madrid,hibrido,,,Sin experiencia,"Python, Powerapps, Power BI",Medio/B2,https://www.tecnoempleo.com/it-data-audit-assurance-deloitte/python-powerapps/rf-98b316a2122a4309b84f
2026-06-26,Tecnoempleo,02/03/2026,WayOps,Backend Engineer,IA,Quizas,Madrid,,,,2 años,"Python, node, FastAPI",Medio/B2,https://www.tecnoempleo.com/backend-engineer-wayops/python-node/rf-47c3129352cff31b8249
2026-06-26,Tecnoempleo,06/06/2025,GMV,Ingeniero/a Junior de software,IA,Si,Madrid,hibrido,,,,"Java, JavaScript, Python",Medio/B2,https://www.tecnoempleo.com/ingeniero-junior-software-gmv/java-javascript-python/rf-e1491685229c3354dd44
2026-06-26,Tecnoempleo,25/06/2026,Cajamar Tecnología,Oficina Gestión Del Servicio (SMO),IA,Quizas,Almería,hibrido,,,,"servicios TI, soluciones digitales",Medio/B2,https://www.tecnoempleo.com/oficina-gestion-del-servicio-smo-cajamar-tecnologi/servicios-ti-soluciones/rf-627819f27253738a7b42
